User,Created_at,Tweet
@citizentvkenya,2019-04-12 16:09:52,"Madaktari wa Cuba Mandera: Harera na Rodriguez walijifunza Kiswahili. Walifanya kazi ya kwa kujitolea.
Rodriguez ni… https://t.co/HIcSdlAdqo"
@citizentvkenya,2019-04-12 16:08:40,"Shambulio la Mandera: Madaktari 2 wa Cuba watekwa nyara. Maduka mengi yafungwa. Polisi waimarisha usalama.
Magari y… https://t.co/j27VvMQT2Z"
@citizentvkenya,2019-04-12 16:05:06,"Shambulio la Mandera: Afisa wa polisi aliuawa. Madaktari 2 wa Cuba watekwa nyara.
Harera Correa na Landy Rodriguez… https://t.co/nc4vqhDaMM"
@citizentvkenya,2019-04-12 16:04:31,DJ Sesy will be on the ones and twos on #OneLove this Saturday as from 4PM. Do not miss out w/ @CocoJahSeed… https://t.co/2Qi4jNwzjG
@citizentvkenya,2019-04-12 15:45:12,Watch a new episode of #TomorrowIsANewDay tonight on @citizentvkenya from 8:05PM. https://t.co/37X9IuCvHO
@citizentvkenya,2019-04-12 15:42:52,"Rose Muhando surfaces, speaks for the first time since ‘spiritual healing’ video - eDaily Kenya via @edailykenya  https://t.co/38Ay1VriAO"
@citizentvkenya,2019-04-12 15:40:55,YALIYOMO: Kwenye Longa longa twauliza je mtu anayekula chakula cha mweziwe bila idhani yake aitwaje? #NipasheWikendi https://t.co/riUBAN0P5l
@citizentvkenya,2019-04-12 15:40:06,YALIYOMO: Mwanamme amdunga mkewe visu mara kumi na saba kufuatia mzozo wa kinyumbani huko Karatina #NipasheWikendi https://t.co/8Tea9vTpc1
@citizentvkenya,2019-04-12 15:39:18,YALIYOMO: Madaktari wawili wa Cuba watekwa nyara na watu wasiojulikana huko Mandera #NipasheWikendi https://t.co/ttpoxoOhhv
@citizentvkenya,2019-04-12 15:38:49,"Italy, France spar over tackling escalating conflict in Libya https://t.co/uucna0TM86"
@citizentvkenya,2019-04-12 15:30:49,Had your dose of laughter yet? Catch all the drama and fun on 'Machachari' tonight on Citizen TV from 7:30 PM… https://t.co/U3Rfn7KKS2
@citizentvkenya,2019-04-12 15:04:08,United can finish in top three with 15 more points – Solskjaer https://t.co/5cXgPDZbIb
@citizentvkenya,2019-04-12 15:03:34,US criticizes Vietnam’s ban on suspected cancer-causing herbicides https://t.co/b7lqme3RvW
@citizentvkenya,2019-04-12 14:58:54,"Why Pope Francis kissed feet of South Sudan rivals Machar, Kiir: Priest explains https://t.co/i7iUl16wef"
@citizentvkenya,2019-04-12 14:40:17,"Catch Jovial live on #10Over10 this Friday from 10PM. 
w/ @WillisRaburu https://t.co/U96eW2EHxw"
@citizentvkenya,2019-04-12 14:40:16,"Rico Gang will be performing live on #10Over10 this Friday from 10PM. Don't miss!
w/ @WillisRaburu https://t.co/Fh48BWjaT8"
@citizentvkenya,2019-04-12 14:25:07,Kenya’s Paul Lonyangata is back in France to defend his throne &amp
@citizentvkenya,2019-04-12 14:25:00,"Marsabit: 4 dead, 21 hospitalised following Kala-azar disease outbreak https://t.co/NvQHcGFyVR"
@citizentvkenya,2019-04-12 14:24:40,Chinese President receives first African honorary Doctorate https://t.co/KudOXuKpsU
@citizentvkenya,2019-04-12 14:20:15,"Don't miss an amazing performance by Mumbi live on #10Over10 this Friday from 10PM.
w/ @WillisRaburu https://t.co/emGh9fOeF4"
